3, 5, 2
4, 7, 2
5, 11, 4
6, 13, 2
7, 17, 4
8, 19, 2
9, 23, 4
10, 29, 6
11, 31, 2
12, 37, 6
13, 41, 4
14, 43, 2
15, 47, 4
16, 53, 6
17, 59, 6
18, 61, 2
19, 67, 6
20, 71, 4
21, 73, 2
22, 79, 6
23, 83, 4
24, 89, 6
25, 97, 8
26, 101, 4
27, 103, 2
28, 107, 4
29, 109, 2
30, 113, 4
31, 127, 14
32, 131, 4
33, 137, 6
34, 139, 2
35, 149, 10
36, 151, 2
37, 157, 6
38, 163, 6
39, 167, 4
40, 173, 6
41, 179, 6
42, 181, 2
43, 191, 10
44, 193, 2
45, 197, 4
46, 199, 2
47, 211, 12
48, 223, 12
49, 227, 4
50, 229, 2
51, 233, 4
52, 239, 6
53, 241, 2
54, 251, 10
55, 257, 6
56, 263, 6
57, 269, 6
58, 271, 2
59, 277, 6
60, 281, 4
61, 283, 2
62, 293, 10
63, 307, 14
64, 311, 4
65, 313, 2
66, 317, 4
67, 331, 14
68, 337, 6
69, 347, 10
70, 349, 2
71, 353, 4
72, 359, 6
73, 367, 8
74, 373, 6
75, 379, 6
76, 383, 4
77, 389, 6
78, 397, 8
79, 401, 4
80, 409, 8
81, 419, 10
82, 421, 2
83, 431, 10
84, 433, 2
85, 439, 6
86, 443, 4
87, 449, 6
88, 457, 8
89, 461, 4
90, 463, 2
91, 467, 4
92, 479, 12
93, 487, 8
94, 491, 4
95, 499, 8
96, 503, 4
97, 509, 6
98, 521, 12
99, 523, 2
100, 541, 18
101, 547, 6
102, 557, 10
103, 563, 6
104, 569, 6
105, 571, 2
106, 577, 6
107, 587, 10
108, 593, 6
109, 599, 6
110, 601, 2
111, 607, 6
112, 613, 6
113, 617, 4
114, 619, 2
115, 631, 12
116, 641, 10
117, 643, 2
118, 647, 4
119, 653, 6
120, 659, 6
121, 661, 2
122, 673, 12
123, 677, 4
124, 683, 6
125, 691, 8
126, 701, 10
127, 709, 8
128, 719, 10
129, 727, 8
130, 733, 6
131, 739, 6
132, 743, 4
133, 751, 8
134, 757, 6
135, 761, 4
136, 769, 8
137, 773, 4
138, 787, 14
139, 797, 10
140, 809, 12
141, 811, 2
142, 821, 10
143, 823, 2
144, 827, 4
145, 829, 2
146, 839, 10
147, 853, 14
148, 857, 4
149, 859, 2
150, 863, 4
151, 877, 14
152, 881, 4
153, 883, 2
154, 887, 4
155, 907, 20
156, 911, 4
157, 919, 8
158, 929, 10
159, 937, 8
160, 941, 4
161, 947, 6
162, 953, 6
163, 967, 14
164, 971, 4
165, 977, 6
166, 983, 6
167, 991, 8
168, 997, 6
169, 1009, 12
